Ref Frequency,Temp,
21699935.08,-27,0.279
21699935.13,-26.75,0.281
21699935.14,-27.25,0.281
21699935.27,-27.25,0.287
21699935.34,-27.25,0.291
21699935.36,-27.5,0.292
21699935.39,-27.75,0.293
21699935.44,-27.75,0.295
21699935.5,-27.75,0.298
21699935.56,-27.75,0.301
21699935.54,-28,0.3
21699935.6,-28,0.303
21699935.53,-28.25,0.299
21699935.67,-28.25,0.306
21699935.69,-28.25,0.307
21699935.68,-28.5,0.306
21699935.66,-28.75,0.305
21699935.67,-28.5,0.306
21699935.72,-28.75,0.308
21699935.81,-28.75,0.312
21699935.79,-28.75,0.312
21699935.67,-29,0.306
21699935.8,-29,0.312
21699935.83,-29,0.313
21699935.83,-29,0.314
21699935.74,-29,0.309
21699935.8,-29.25,0.312
21699935.78,-29.25,0.311
21699935.88,-29.25,0.316
21699935.87,-29.25,0.315
21699935.86,-29.25,0.315
21699935.84,-29.5,0.314
21699935.85,-29.5,0.314
21699935.83,-29.5,0.313
21699935.87,-29.5,0.315
21699935.72,-29.5,0.308
21699935.81,-29.5,0.312
21699935.85,-29.75,0.314
21699935.83,-29.75,0.313
21699935.81,-29.75,0.313
21699935.73,-29.75,0.309
21699935.87,-29.75,0.315
21699935.83,-29.75,0.314
21699935.8,-29.75,0.312
21699935.83,-29.75,0.313
21699935.91,-29.75,0.317
21699935.86,-30,0.315
21699935.89,-30,0.316
21699935.93,-29.75,0.318
21699935.95,-29.75,0.319
21699935.97,-29.75,0.32
21699935.91,-29.5,0.317
21699935.85,-29.25,0.314
21699935.87,-29,0.315
21699935.81,-28.75,0.313
21699935.66,-28.5,0.305
21699935.67,-28.25,0.306
21699935.58,-27.75,0.302
21699935.5,-27.25,0.298
21699935.49,-26.75,0.298
21699935.44,-30.75,0.295
21699935.3,-26.25,0.289
21699935.17,-25.75,0.283
21699935.1,-25,0.28
21699934.82,-24.5,0.267
21699934.75,-23.75,0.264
21699934.61,-23.25,0.257
21699934.49,-22.75,0.252
21699934.23,-22,0.239
21699934.06,-21.25,0.232
21699933.9,-20.75,0.225
21699933.8,-20,0.22
21699933.44,-19.25,0.203
21699933.09,-18.5,0.187
21699933.03,-17.75,0.184
21699932.74,-17,0.171
21699932.56,-16.25,0.163
21699932.32,-15.5,0.152
21699932.15,-14.75,0.144
21699932.01,-14,0.137
21699931.79,-13.25,0.127
21699931.74,-12.25,0.125
21699931.49,-11.5,0.113
21699931.33,-10.75,0.106
21699931.21,-10,0.101
21699931.08,-9,0.095
21699931.01,-8.25,0.091
21699930.91,-7.5,0.086
21699930.72,-6.5,0.078
21699930.58,-5.75,0.071
21699930.45,-5,0.065
21699930.19,-4,0.054
21699929.99,-3.25,0.044
21699929.81,-4,0.036
21699929.67,-1.5,0.03
21699929.42,-0.5,0.018
21699929.15,0.25,0.006
21699929.06,1.25,0.002
21699928.98,2,-0.002
21699928.7,3,-0.015
21699928.57,3.75,-0.021
21699928.46,4.5,-0.026
21699928.39,5.5,-0.029
21699928.26,6.25,-0.036
21699928.22,7,-0.037
21699928.11,8,-0.042
21699928.09,8.75,-0.043
21699928.06,9.5,-0.044
21699928.1,10.25,-0.043
21699928.11,11,-0.042
21699928.08,11.75,-0.044
21699928.1,12.5,-0.043
21699928.24,13,-0.036
21699928.08,13.75,-0.044
21699928.04,14.5,-0.046
21699928.02,15,-0.046
21699928.02,15.75,-0.047
21699927.9,16.25,-0.052
21699927.88,17,-0.053
21699927.76,17.5,-0.059
21699927.73,18,-0.06
21699927.55,18.5,-0.068
21699927.47,19,-0.072
21699927.46,19.5,-0.072
21699927.22,20,-0.083
21699927.27,20.25,-0.081
21699927.13,20.75,-0.088
21699927.09,21.25,-0.089
21699926.98,21.5,-0.094
21699926.77,22,-0.104
21699926.75,22.25,-0.105
21699926.64,22.5,-0.11
21699926.63,22.75,-0.111
21699926.61,23.25,-0.112
21699926.62,23.5,-0.111
21699926.53,23.75,-0.115
21699926.5,24,-0.116
21699926.43,24.25,-0.12
21699926.33,24.5,-0.124
21699926.38,24.75,-0.122
21699926.35,25,-0.124
21699926.37,25.25,-0.122
21699926.33,25.25,-0.124
21699926.33,25.5,-0.124
21699926.25,25.75,-0.128
21699926.22,25.75,-0.129
